,name,review_count,rating,price,location,phone,distance
0,Dazzles,13,5.0,$$,"827 N Roselle Rd, Roselle, IL 60172",+16309240308,4115.743792034928
1,Hairology Salon & Spa,9,5.0,$$,"660 E Irving Park Rd, Roselle, IL 60172",+16308934247,6396.13642851502
2,Alberto Daniel Salon & Day Spa,14,5.0,$$$,"530 E Golf Rd, Ste 104, Schaumburg, IL 60173",+18477042778,2256.672866041485
3,Shear Vanity,9,5.0,$$,"1501 E Woodfield Dr, Ste 114s, Phenix Salon Suites, Schaumburg, IL 60173",+18478093737,3459.716547049563
4,Chic Concepts Salon,30,5.0,$$,"607 E Irving Park Rd, Roselle, IL 60172",+16305293837,6318.690139472808
5,Hair By Kimberly,17,5.0,$,"833 E Schaumburg Rd, Schaumburg, IL 60194",+18473800564,2282.3882790108255
6,Christopher Anthony Salon,22,5.0,,"601 N Martingale Rd, Ste 100, Schaumburg, IL 60173",+18476195739,4099.358538689742
7,Rue 62 Salon,32,5.0,$$,"1734 W Algonquin Rd, Hoffman Estates, IL 60192",+18475980320,7091.780534642556
8,Salon Eros,4,5.0,,"1171 N Barrington Rd, Unit B, Hoffman Estates, IL 60169",+12242416417,5035.5908026145225
9,HIP Salon,216,4.5,$$$,"174 E Golf Rd, Schaumburg, IL 60173",+18478824474,1818.8257916587008
10,pH salon,22,4.5,$$,"1330 N Roselle Rd, Schaumburg, IL 60195",+18473100606,1827.4601661807385
11,Hair Jun,24,4.5,$,"235 W Golf Rd, Ste 100, Schaumburg, IL 60195",+12243300291,1344.0982587760734
12,Uni-Hair Salon,18,4.5,$$,"1452 Golf Rd, Rolling Meadows, IL 60008",+18476409131,7268.90991216499
13,Respa Foot Spa,17,4.5,,"734 E Schaumburg Rd, Schaumburg, IL 60194",+18729851218,2003.6764552547181
14,Hotheadz Studio,49,4.5,$$,"105 S Roselle Rd, Ste 106, Schaumburg, IL 60193",+18478850045,1247.994461515279
